央视频道2025/10/06 10:00更新,#genre#
CCTV4,http://123.10.76.228:808/hls/4/index.m3u8
CCTV9,http://123.10.76.228:808/hls/9/index.m3u8

卫视频道,#genre#
厦门卫视,http://123.10.76.228:808/hls/69/index.m3u8
四川卫视,http://123.10.76.228:808/hls/44/index.m3u8
天津卫视,http://123.10.76.228:808/hls/38/index.m3u8
安徽卫视,http://123.10.76.228:808/hls/40/index.m3u8
山东卫视,http://123.10.76.228:808/hls/39/index.m3u8
江西卫视,http://123.10.76.228:808/hls/42/index.m3u8
湖北卫视,http://123.10.76.228:808/hls/43/index.m3u8
辽宁卫视,http://123.10.76.228:808/hls/48/index.m3u8
重庆卫视,http://123.10.76.228:808/hls/50/index.m3u8
青海卫视,http://123.10.76.228:808/hls/60/index.m3u8
黑龙江卫视,http://123.10.76.228:808/hls/45/index.m3u8
其他频道,#genre#
CETV4,http://123.10.76.228:808/hls/68/index.m3u8
IPTV相声,http://123.10.76.228:808/hls/81/index.m3u8
影院,http://123.10.76.228:808/hls/98/index.m3u8
收视指南,http://123.10.76.228:808/hls/75/index.m3u8
河南国际,http://123.10.76.228:808/hls/26/index.m3u8
河南武术世界,http://123.10.76.228:808/hls/29/index.m3u8
河南河南戏曲,http://123.10.76.228:808/hls/27/index.m3u8
河南电视剧,http://123.10.76.228:808/hls/21/index.m3u8
河南都市,http://123.10.76.228:808/hls/18/index.m3u8
漯河公共,http://123.10.76.228:808/hls/78/index.m3u8
热播剧场,http://123.10.76.228:808/hls/82/index.m3u8
